LYLTY_CARD_NBR,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
83186,278,1,6.5,1,2,4,124,Lost
84096,4,1,4.4,4,2,3,423,At Risk
88320,1,1,9.2,5,2,5,525,At Risk
94077,5,1,4.3,4,2,2,422,At Risk
94233,279,1,5.1,1,2,3,123,Lost
96203,275,1,28.5,2,2,5,225,Lost
97033,6,1,3.8,3,2,2,322,At Risk
97159,278,1,7.5,1,2,4,124,Lost
101170,276,1,3.0,2,2,1,221,Lost
102115,277,1,5.4,2,2,3,223,Lost
104187,277,1,4.3,2,2,2,222,Lost
106050,280,1,3.9,1,2,2,122,Lost
106147,278,1,5.4,1,2,3,123,Lost
109028,1,2,10.5,5,5,5,555,Champion
110013,7,1,2.9,3,3,1,331,Need Attention
111487,6,1,2.6,3,3,1,331,Need Attention
112046,276,1,5.4,2,3,3,233,Need Attention
114185,3,1,3.6,5,3,1,531,Need Attention
115381,2,1,3.0,5,3,1,531,Need Attention
116184,279,1,5.1,1,3,3,133,Need Attention
118007,274,1,4.4,3,3,3,333,Loyal
119051,5,1,3.7,4,3,2,432,Need Attention
119057,2,1,5.4,5,3,3,533,Loyal
119282,2,1,5.4,5,3,3,533,Loyal
120226,3,1,2.7,5,3,1,531,Need Attention
122113,276,1,3.9,2,3,2,232,Need Attention
122185,5,1,3.8,4,3,2,432,Need Attention
125251,6,1,5.4,3,3,3,333,Loyal
128148,280,1,4.4,1,3,3,133,Need Attention
128231,276,2,7.1,2,5,4,254,Need Attention
129134,6,1,3.4,3,3,1,331,Need Attention
130108,1,1,19.0,5,3,5,535,Loyal
130356,7,1,11.8,3,3,5,335,Loyal
133250,6,1,17.6,3,3,5,335,Loyal
149225,5,1,4.4,4,3,3,433,Loyal
149317,274,1,4.6,3,3,3,333,Loyal
151325,279,1,4.6,1,3,3,133,Need Attention
151427,2,1,5.4,5,3,3,533,Loyal
152042,277,1,9.0,2,3,5,235,Need Attention
152117,5,1,3.8,4,3,2,432,Need Attention
153106,1,1,13.2,5,3,5,535,Loyal
153220,279,1,9.2,1,3,5,135,Need Attention
156236,3,2,5.699999999999999,5,5,4,554,Champion
157123,277,1,3.7,2,3,2,232,Need Attention
157185,278,1,10.2,1,3,5,135,Need Attention
160136,275,1,13.0,2,3,5,235,Need Attention
160153,279,1,4.2,1,3,2,132,Need Attention
161280,5,1,3.0,4,3,1,431,Need Attention
164183,2,1,2.7,5,3,1,531,Need Attention
166235,279,1,3.3,1,3,1,131,Need Attention
166251,279,1,3.8,1,3,2,132,Need Attention
166261,1,1,7.8,5,3,4,534,Loyal
167405,3,1,3.8,5,4,2,542,Need Attention
168213,4,1,7.8,4,4,4,444,Champion
168219,4,1,15.2,4,4,5,445,Champion
169267,274,1,5.8,3,4,4,344,Loyal
172006,275,1,5.4,2,4,3,243,Need Attention
172068,1,2,14.4,5,5,5,555,Champion
173154,276,2,13.8,2,5,5,255,Need Attention
175306,275,1,5.1,2,4,3,243,Need Attention
178036,280,1,4.4,1,4,3,143,Need Attention
178093,3,1,9.2,5,4,5,545,Champion
181265,277,1,6.6,2,4,4,244,Need Attention
184229,278,1,3.9,1,4,2,142,Need Attention
186188,7,1,3.3,3,4,1,341,Need Attention
186401,274,1,14.5,3,4,5,345,Loyal
187144,4,1,5.4,4,4,3,443,Loyal
191094,277,1,5.6,2,4,4,244,Need Attention
191200,5,2,8.4,4,5,5,455,Champion
194066,2,1,10.8,5,4,5,545,Champion
194161,274,1,3.9,3,4,2,342,Need Attention
196121,280,1,5.8,1,4,4,144,Need Attention
197172,6,1,1.7,3,4,1,341,Need Attention
200162,276,1,4.6,2,4,3,243,Need Attention
205151,6,2,12.2,3,5,5,355,Loyal
207007,4,1,10.4,4,4,5,445,Champion
207091,2,1,3.3,5,4,1,541,Need Attention
207182,276,1,11.4,2,4,5,245,Need Attention
208081,4,1,2.9,4,4,1,441,Need Attention
208139,4,1,4.2,4,4,2,442,Need Attention
209180,1,1,2.1,5,4,1,541,Need Attention
212194,2,1,3.7,5,4,2,542,Need Attention
212201,3,1,3.7,5,4,2,542,Need Attention
212203,7,1,3.25,3,4,1,341,Need Attention
214277,276,1,1.5,2,4,1,241,Need Attention
215129,277,1,4.6,2,4,3,243,Need Attention
216104,5,1,4.6,4,4,3,443,Loyal
217168,277,1,4.6,2,4,3,243,Need Attention
219065,3,1,4.6,5,4,3,543,Loyal
222079,277,1,4.3,2,4,2,242,Need Attention
222209,4,2,18.6,4,5,5,455,Champion
223062,275,1,1.8,2,4,1,241,Need Attention
223130,277,1,2.6,2,4,1,241,Need Attention
225242,280,1,3.3,1,5,1,151,Need Attention
226133,6,1,4.6,3,5,3,353,Loyal
227220,277,1,3.7,2,5,2,252,Need Attention
235158,280,1,4.4,1,5,3,153,Need Attention
236216,278,1,10.8,1,5,5,155,Need Attention
236247,2,1,1.7,5,5,1,551,Need Attention
237227,274,1,8.4,3,5,5,355,Loyal
237293,278,1,3.8,1,5,2,152,Need Attention
241222,276,1,5.2,2,5,3,253,Need Attention
243070,4,1,4.2,4,5,2,452,Need Attention
243342,1,1,5.1,5,5,3,553,Loyal
246078,3,1,3.7,5,5,2,552,Need Attention
246266,6,1,3.8,3,5,2,352,Need Attention
247223,1,1,3.6,5,5,1,551,Need Attention
248409,277,1,5.699999999999999,2,5,4,254,Need Attention
250314,4,1,3.7,4,5,2,452,Need Attention
253032,2,1,4.4,5,5,3,553,Loyal
253295,2,1,13.2,5,5,5,555,Champion
255206,3,1,3.7,5,5,2,552,Need Attention
256041,275,1,4.6,2,5,3,253,Need Attention
257121,2,1,5.9,5,5,4,554,Champion
257168,275,1,5.4,2,5,3,253,Need Attention
257241,3,1,2.6,5,5,1,551,Need Attention
257258,277,1,18.4,2,5,5,255,Need Attention
